Date,City,Total City Frequency,State or Territory,Total Deaths,Perpetrator Deaths,Total Injuries,Perpetrator Injuries,Total Victims,Description,Month
2025-01-01,Kankakee,1,Illinois,2,0,5,0,7,Two people were killed and five others were injured when a shooting broke out at a New Year's Eve party.[442][443],1.0
2025-01-01,Dallas,7,Texas,1,0,3,0,4,"An argument in the Wolf Creek neighborhood escalated when a suspect opened fire, killing a man and injuring three others.[436]",1.0
2025-01-01,New York City,7,New York,0,0,10,0,10,"Four men opened fire on a queue of people outside a music venue in the Jamaica neighborhood of Queens, wounding ten.[441]",1.0
2025-01-01,New Orleans,4,Louisiana,1,1,5,0,6,"2025 New Orleans truck attack: A man who was inspired by the Islamic State and is also believed to have planted bombs around the area, drove a rented truck through Bourbon Street in the French Quarter, attempting to strike revelers during New Year's celebrations. The man killed fourteen people and injured several dozen others with the truck before he crashed into a crane, after which he exited the vehicle and opened fire, striking five people, including two officers, before he was fatally shot by police.[437][438][439][440]",1.0
2025-01-03,Washington,4,District of Columbia,0,0,5,1,5,"A dispute that escalated into a shooting wounded five, including the shooter, in the Eckington neighborhood of Northeast DC.[435]",1.0
2025-01-05,Tucson,2,Arizona,0,0,4,0,4,An argument that escalated into a shooting injured four.[434],1.0
2025-01-11,Webster Parish,1,Louisiana,0,0,6,0,6,"A shooting at a large party south of Dubberly wounded six. The party was being hosted on private property without a permit and was charging entrance fees, and featured a DJ and performers.[433]",1.0
2025-01-12,Omaha,3,Nebraska,1,0,4,0,5,"Five people were shot, one fatally, when a shooting broke out at an after-hours club in the Kountze Place neighborhood of the north side.[432]",1.0
2025-01-14,Houston,7,Texas,2,0,2,0,4,An apparent argument over drugs led to a shooting that left two men dead and two other men wounded in the North Shore neighborhood.[431],1.0
2025-01-18,River Ridge,1,Louisiana,3,1,2,0,5,A man fatally shot his wife and 2-year-old daughter and injured his 9-year-old and 13-year-old daughters at their home before he was shot and killed by police.[430],1.0
2025-01-19,Boynton Beach,1,Florida,1,0,5,0,6,One person was killed and five others were injured when an altercation between two people at a gathering escalated into a shooting.[429],1.0
2025-01-21,Jackson,5,Tennessee,1,0,3,0,4,A man was killed and three others were injured in a targeted shooting inside a Slim Chickens restaurant just northeast of Union University.[428],1.0
2025-01-21,Minneapolis,8,Minnesota,0,0,4,0,4,"Four people, including a juvenile, were wounded when someone opened fire on them as they sat in a car together in the Whittier neighborhood.[427]",1.0
2025-01-22,Los Angeles,7,California,0,0,6,1,6,Five people were injured in a suspected drive-by shooting outside a Yoshinoya restaurant in the Westlake neighborhood. One of the suspects was also wounded.[425][426],1.0
2025-01-22,San Antonio,3,Texas,1,1,7,0,8,"Officers responding to a suicide-in-progress call from a man's family member at an apartment in the Far North Central area were fired upon by the man, leaving seven officers injured, most with shrapnel wounds. After several hours of the man being barricaded inside the apartment, officers found him dead inside after midnight.[424]",1.0
2025-01-22,Baltimore,5,Maryland,1,0,3,0,4,"A fight at a basketball game that soon escalated into a targeted shooting outside of school killed a woman and injured three others, including two children who were grazed by bullets, in the Mid-Govans neighborhood of North Baltimore.[423]",1.0
2025-01-24,Mobile,3,Alabama,1,0,3,0,4,"A shooting in the Maysville neighborhood left four people wounded. After the suspect turned himself in at the jail, a wounded teenager later died.[422]",1.0
2025-01-25,Memphis,8,Tennessee,0,0,4,0,4,"Four people were wounded in a targeted shooting in the Orange Mound neighborhood, in which three suspects got out of a vehicle and opened fire on the occupants of another vehicle near a community center.[421]",1.0
2025-01-26,Bon Air,1,Virginia,0,0,5,0,5,"Five people, including one targeted person, were injured when a shooting between two groups broke out at a pub.[419]",1.0
2025-01-26,Amarillo,1,Texas,1,0,8,0,9,"An altercation that later escalated into a drive-by shooting outside a nightclub injured nine, one fatally. The suspected shooter, a driver, and a passenger were arrested, the latter just for public intoxication.[420]",1.0
2025-01-27,Elkhart,2,Indiana,3,1,2,0,5,"A man walked into a Martin’s Super Market and attempted to kidnap a 19-year-old employee. As a manager attempted to calm the suspect, he shot and killed the employee and fired at random people nearby, killing a customer. The shooter ran to a nearby apartment complex, where he shot at and wounded two police officers before the officers killed him.[417][418]",1.0
2025-01-27,Philadelphia,9,Pennsylvania,1,0,3,0,4,A shooting at a ballroom in the Frankford neighborhood of Northeast Philadelphia killed a man and injured three others.[416],1.0
2025-01-27,San Juan,2,Puerto Rico,5,1,0,0,5,An employee at a plumbing business in the Puerto Nuevo neighborhood shot and killed four co-workers before killing himself.[415],1.0
2025-01-29,Memphis,8,Tennessee,2,0,3,0,5,A shooting at a home in the College Park neighborhood just north of LeMoyne-Owen College killed two and injured three others.[414],1.0
2025-01-31,West Rancho Dominguez,1,California,2,0,5,0,7,"Two men were killed and five others, including a juvenile, were wounded in a shooting at Athens Park.[413]",1.0
2025-02-01,Columbia County,1,Oregon,2,1,3,0,5,"A man opened fire when a domestic dispute escalated north of Clatskanie, killing one person and wounding three others. One of the wounded fired back and killed the shooter.[412]",2.0
2025-02-02,Allentown,1,Pennsylvania,1,0,3,0,4,One person was killed and three others were injured when a fight between two people inside the club escalated into a shooting near the Rittersville neighborhood.[411],2.0
2025-02-04,New Albany,1,Ohio,2,0,4,0,6,"An employee of a warehouse opened fire on coworkers, killing one and injuring five others. One of the injured died two days later.[409] The suspect was later arrested at a home in Columbus.[410]",2.0
2025-02-06,Gadsden County,1,Florida,3,1,3,0,6,"During an armed robbery at a gas station south of Quincy, a man shot and killed two people and injured two others before fleeing and setting off a manhunt. The man was spotted by officers in Columbia County the following day, and they began a pursuit which ended in a crash just northwest of Live Oak in Suwannee County, where the robber shot and wounded a Suwannee County deputy before he was shot and killed by police.[407][408]",2.0
2025-02-07,Atlanta,8,Georgia,0,0,4,0,4,Four men showed up to Grady Memorial Hospital with gunshot wounds. Police later determined that they had been shot in the Lakewood Heights neighborhood of south Atlanta.[406],2.0
2025-02-08,Casa Grande,1,Arizona,1,0,5,0,6,"One man was killed and five others, including two teens, were wounded in a shooting.[404]",2.0
2025-02-08,Raleigh,2,North Carolina,0,0,4,0,4,Four men were shot at an apartment in east Raleigh.[403],2.0
2025-02-08,Tulsa,5,Oklahoma,2,0,2,0,4,Two teenagers were killed and two others were injured in an ambush attack at an apartment complex near the Columbus neighborhood of east Tulsa.[405],2.0
2025-02-09,Los Angeles,7,California,1,0,6,0,7,A teenager was killed and six men were wounded when a suspect opened fire at a house party while being escorted out in the Woodland Hills neighborhood.[402],2.0
2025-02-10,Byron,1,Wyoming,5,1,0,0,5,"A mother shot and killed her three daughters and mortally wounded her other daughter inside a home. She called the police before shooting herself, and she later died at a hospital.[400][401]",2.0
2025-02-12,Ferguson,1,Missouri,1,0,3,0,4,A drive-by shooting killed a person and left three others wounded.[399],2.0
2025-02-12,Río Grande,1,Puerto Rico,2,0,4,0,6,Two children were killed in a shooting that injured a third child and three adults.[398],2.0
2025-02-15,Rock Hill,1,South Carolina,0,0,4,0,4,A shooting during a gathering at an apartment wounded four people.[396],2.0
2025-02-15,Roanoke,1,Virginia,0,0,5,0,5,Five people were wounded in a shooting in northwest Roanoke.[397],2.0
2025-02-16,Stonecrest,1,Georgia,1,0,4,0,5,"During a car meet-up, unidentified suspects attempted to rob a 16-year-old boy, which then escalated into a shooting that wounded him and three other teenagers and killed a 20-year-old man.[395]",2.0
2025-02-18,Tampa,2,Florida,1,0,3,0,4,"Four people were shot, one fatally, in the College Hills neighborhood.[394]",2.0
2025-02-20,Gary,1,Indiana,0,0,4,0,4,"A dispute between three men in the Black Oak neighborhood escalated into a shooting, leaving the three men injured. A 10-year-old boy was struck by a stray bullet inside his home.[393]",2.0
2025-02-21,Lake Station,1,Indiana,5,1,0,0,5,"Police officers responding to a home for a welfare check found five people, two adults and three children, shot to death inside. It was later determined that one of the adults had shot the other four before killing himself.[392]",2.0
2025-02-22,Shiloh,1,Pennsylvania,2,1,5,0,7,"UPMC Memorial Hospital shooting: A man armed with a pistol and carrying zip ties entered UPMC Memorial Hospital's intensive care unit and took staff members hostage. Responding police officers opened fire as the man held a female staff member at gunpoint, beginning a shoot-out in which the man and a police officer were killed and three staff members and two other police officers were wounded. A fourth staff member was injured while fleeing.[391]",2.0
2025-02-24,Dallas,7,Texas,3,0,2,0,5,"A fight between two groups of people in the La Bajada neighborhood of West Dallas killed three and injured two others when it escalated into a shooting. Shortly afterwards, another shooting happened near the Children's Medical Center Dallas in the Southwestern Medical District and was reportedly connected to the first incident.[390]",2.0
2025-02-27,Columbus,3,Ohio,1,0,3,0,4,A shooting outside a home that stemmed from a dispute left a man dead and three others injured in the South of Main neighborhood of east Columbus.[389],2.0
2025-03-01,Dallas County,1,Alabama,0,0,6,0,6,"An argument during a party after a trail ride escalated when a suspect opened fire, wounding six females, some of whom were teenagers in the Sardis area south of Selma.[388]",3.0
2025-03-01,Hayward,1,California,0,0,4,0,4,Four people were shot outside a restaurant in North Hayward.[387],3.0
2025-03-02,Biloxi,1,Mississippi,0,0,4,0,4,A shooting that broke out at a nightclub injured four.[384],3.0
2025-03-02,Houston,7,Texas,0,0,5,0,5,"A shooting at a bar in the MacGregor neighborhood, in which the suspect appeared to fire at random on patrons as the bar closed, left five people injured.[386]",3.0
2025-03-02,Portsmouth,3,Virginia,1,0,3,0,4,A shooting killed a man and injured three others.[385],3.0
2025-03-04,Mamou,1,Louisiana,2,0,12,0,14,"During Mardi Gras festivities and while Chris Ardoin performed on stage, at least one person opened fire, killing two and injuring twelve others.[382]",3.0
2025-03-04,Severn,1,Maryland,2,0,2,0,4,An argument during a pickup basketball game escalated into a shooting that killed two men and injured two others.[383],3.0
2025-03-10,Huntsville,1,Alabama,0,0,4,0,4,Four people were shot outside a bar in North Huntsville.[381],3.0
2025-03-12,Seaford,1,Delaware,1,0,3,0,4,A man was killed and three other men were injured when a fight at a park escalated.[380],3.0
2025-03-14,Chicago,21,Illinois,0,0,5,1,5,"An argument at a liquor store in the Back of the Yards neighborhood escalated when a man and a woman opened fire on another group, injuring four. A person in the other group returned fire and wounded the man.[379]",3.0
2025-03-15,Shreveport,2,Louisiana,2,0,2,0,4,Two people were killed and two people were injured in a shooting in Downtown Shreveport.[378],3.0
2025-03-15,Verona,1,New Jersey,0,0,4,0,4,"A fight in the parking lot of a venue hosting a party escalated into a shooting, which wounded four.[377]",3.0
2025-03-18,Chatham County,1,Georgia,0,0,5,0,5,"A man out on bond opened fire at an apartment complex near Savannah, striking multiple buildings and vehicles and wounding five people. Later that day, the suspect crashed a car and ran from Savannah police before being arrested.[376]",3.0
2025-03-19,Selma & Dallas County,1,Alabama,1,0,3,0,4,"A man shot his ex-wife and his teenage son at his home in Selma before driving into the surrounding county, allegedly to attack other people at random. The man shot and grazed a man in the head before running the victim over with his vehicle, then pistol-whipped a woman after his gun jammed when he attempted to shoot her, before shooting an elderly woman in her yard who was on her phone before bludgeoning her to death with the engine block of his vehicle because he believed she was calling the police. After killing his last victim, the man tried to force his way into her home, where other people were present, before he was arrested.[375]",3.0
2025-03-21,Phoenix,1,Arizona,1,0,3,0,4,A man was killed and three others were wounded in a shooting at a Red Roof Inn.[371],3.0
2025-03-21,Las Cruces,1,New Mexico,3,0,15,0,18,"A confrontation between two groups at a car meetup escalated into a shooting during a large gathering at Young Park, killing three men and injuring fifteen others. Four suspects, a 20-year-old man and three teens, ages 17 and 15, were taken into custody.[374]",3.0
2025-03-21,Country Club Estates,1,Georgia,1,0,3,0,4,"Four men were shot, one fatally, inside an apartment.[373]",3.0
2025-03-21,Moses Lake,1,Washington,1,0,4,0,5,"A drive-by shooting killed a teenage boy and injured four others, including at least one other teenager.[372]",3.0
2025-03-22,Clarence,1,Louisiana,0,0,4,0,4,"Four people, including two teenage boys, were wounded when shots were fired at a trail ride event.[370]",3.0
2025-03-22,Jackson,5,Mississippi,1,0,7,0,8,A man was killed and seven others were injured in a shooting at the site of a Saint Patrick's Day parade after the conclusion of festivities.[369],3.0
2025-03-23,Houston,7,Texas,0,0,6,0,6,"An argument at an after-hours nightclub in the Gulfton neighborhood escalated into a shooting when a man fired shots into the entrance of the club, wounding six men.[368]",3.0
2025-03-26,Pembroke Park,1,Florida,5,1,1,0,6,"A man opened fire at an apartment complex, killing a woman, an infant, two toddlers, and injuring a 10-year-old girl before mortally wounding himself.[367]",3.0
2025-03-29,Frederickson,1,Washington,2,0,4,0,6,A street fight outside of a house party escalated into a shooting that left two juveniles dead and four others injured.[366],3.0
2025-03-29,Baltimore,5,Maryland,0,0,4,0,4,"Four people, including a teenager, were shot in the Oakenshawe neighborhood.[365]",3.0
2025-03-29,Orangeburg County,1,South Carolina,0,0,7,0,7,"At an event venue southeast of Orangeburg, a man who was out on bond for an armed robbery and had disabled his ankle monitor was suspected of firing into a crowd, wounding seven. In the subsequent chaos, three other people were injured.[364]",3.0
2025-03-30,Salinas,1,Puerto Rico,3,0,4,0,7,Seven people were shot in a drive-by shooting. One of the injured died of her injuries a month later.[360],3.0
2025-03-30,San Francisco,4,California,0,0,4,0,4,Four people were shot in the Bayview neighborhood.[361],3.0
2025-03-30,Austin,2,Texas,0,0,4,0,4,Four people were shot shortly after midnight in Downtown Austin.[363],3.0
2025-03-30,Hammond,1,Indiana,2,0,3,0,5,"In the parking lot of a pub, a domestic situation escalated into a shooting that killed two and injured three. Four of the victims were shot when they attempted to intervene in the incident.[362]",3.0
2025-03-31,San Antonio,3,Texas,1,1,4,0,5,"A fight on the patio of a bar in the Vance neighborhood escalated when a person in the parking lot opened fire, striking four people. One of the victims returned fire and killed the shooter.[359]",3.0
2025-04-03,Sabattus,1,Maine,3,1,2,0,5,"A 29-year-old man fatally shot his mother in her car before exiting and opening fire on passing cars, killing one person and injuring two others, before killing himself.[358]",4.0
2025-04-04,Knoxville,1,Tennessee,0,0,4,0,4,Four people were shot in the parking lot of a pub after midnight.[357],4.0
2025-04-05,Kansas City,6,Kansas,2,0,2,0,4,A shooting killed two men and injured two others.[356],4.0
2025-04-05,Westmont,1,California,1,0,4,0,5,A shooting killed a man and injured four others.[355],4.0
2025-04-08,Spotsylvania County,1,Virginia,3,0,3,1,6,"During an illegal gun sale in a neighborhood south of Fredericksburg, four teen suspects opened fire, killing three and injuring two others. A witness to the robbery opened fire on one of the suspects, wounding a 16-year-old suspect.[353][354]",4.0
2025-04-09,Memphis,8,Tennessee,1,0,5,0,6,A shooting during a meeting for a community violence intervention program in a business park left one man dead and five others injured.[352],4.0
2025-04-11,Stockton,1,California,0,0,6,0,6,Six men were shot outside a barber shop just west of Edison High School.[351],4.0
2025-04-12,Harris County,1,Texas,1,0,6,0,7,"A shooting during a gathering to raise money at a Shell gas station north of Barrett killed one and injured six others, including at least one teenager.[350]",4.0
2025-04-13,St. Louis,4,Missouri,1,0,4,0,5,A man was killed and four others were injured in a shooting at Fairground Park in the Fairground neighborhood.[345],4.0
2025-04-13,New Orleans,4,Louisiana,0,0,5,0,5,"As officers directed a large crowd in the Central Business District leaving French Quarter Festival, a person opened fire and wounded five before fleeing. The suspect was arrested by officers a block away from the attack.[347][348]",4.0
2025-04-13,Conway,1,Arkansas,2,0,9,0,11,Two people were killed and nine others were injured in a shooting at Fifth Avenue Park.[346],4.0
2025-04-13,Daytona Beach,1,Florida,1,0,3,0,4,A shooting during an overnight party in a parking lot killed one and injured three others.[349],4.0
2025-04-15,Dallas,7,Texas,0,0,4,0,4,"A student let an armed student into Wilmer-Hutchins High School through a locked side door. Moments later, the 17-year-old male suspect opened fire, striking four male students in a hallway before fleeing, but later that same day, the suspect turned himself in. One other student suffered a non-gunshot injury when he fell, and investigators believe the suspect was targeting a specific student over a dispute.[343][344]",4.0
2025-04-17,Tallahassee,1,Florida,2,0,6,1,8,"2025 Florida State University shooting: Two food service employees were killed, and at least six others, including the shooter, were injured in a shooting in the area of the student union building at Florida State University.[342]",4.0
2025-04-18,Garland,1,Texas,1,0,3,0,4,Three children and an adult were shot at an apartment complex. A 15-year-old died at the hospital from their injuries. No arrests have been made.[341],4.0
2025-04-19,Memphis,8,Tennessee,1,0,4,0,5,"Five people were shot and injured, including two critically, in a drive-by shooting in the Medical District. One of the victims later succumbed to their injuries.[340]",4.0
2025-04-20,Houston,7,Texas,0,0,4,0,4,"Four people were injured, two critically, in a drive-by shooting outside of a bar in southeast Houston.[339]",4.0
2025-04-20,Ruston,1,Louisiana,1,0,5,0,6,A dispute between family members led to a shooting in the parking lot of a barber shop which killed a man and injured five others.[338],4.0
2025-04-26,Myrtle Beach,1,South Carolina,1,1,11,0,12,"A man opened fire during an altercation with multiple people before being fatally shot by a responding officer. Eleven people were injured, including one who was injured by police gunfire.[336][337]",4.0
2025-04-27,Memphis,8,Tennessee,1,0,4,0,5,"Five people were shot, one fatally, at a Mexican restaurant in the Parkway Village neighborhood.[334]",4.0
2025-04-27,Elizabeth City,1,North Carolina,1,0,4,0,5,"A shooting after the conclusion of a day of a week-long celebration left a man dead and four others injured at Elizabeth City State University. The deceased man was not a student of the school, and three of the wounded victims were students, while two others were injured in the subsequent commotion.[335]",4.0
2025-04-28,Gulfport,1,Mississippi,1,0,3,0,4,"Two armed men are suspected of traveling to confront a group of people and then opening fire, killing a teenage boy and injuring three others.[333]",4.0
2025-04-29,Minneapolis,8,Minnesota,4,0,1,0,5,"Five people were shot in the head in the Midtown Phillips neighborhood, four of whom who died.[331] A member of the Native Mob was charged with shooting the victims.[332]",4.0
2025-05-02,Woodlawn,1,Maryland,0,0,4,0,4,A shooting inside a nightclub wounded four.[330],5.0
2025-05-03,Eastpointe,1,Michigan,2,0,2,0,4,"A person opened fire during an argument with two groups outside of a Foot Locker store, killing two and wounding two others.[329]",5.0
2025-05-03,Little Rock,2,Arkansas,1,0,3,0,4,A man was killed and three others were wounded in a shooting in the South End of Little Rock.[328],5.0
2025-05-04,Corozal,1,Puerto Rico,2,0,2,0,4,Four people were shot in a bar.[322],5.0
2025-05-04,Denver,2,Colorado,0,0,4,0,4,Four people were shot in the Union Station neighborhood of Downtown Denver.[323],5.0
2025-05-04,Houston,7,Texas,1,0,15,0,16,"During a family party in southeast Houston, an uninvited guest who was asked to leave opened fire, killing an 18-year-old and injuring fifteen others. Others at the party returned fire.[326][327]",5.0
2025-05-04,Tulsa,5,Oklahoma,1,1,6,1,7,"Multiple people began shooting into a large crowd during a fight with semi-automatic pistols in Downtown Tulsa. A shooter was killed while at least six others, including another shooter, suffered injuries.[325]",5.0
2025-05-04,Glendale,1,Arizona,3,0,5,0,8,"Multiple shooters opened fire at a steakhouse next door to the police headquarters, killing three people and injuring five others.[324]",5.0
2025-05-05,Charlotte,2,North Carolina,1,0,3,0,4,"One person was killed and three others, two critically, were injured in an afternoon shooting in the Montclaire South neighborhood.[321]",5.0
2025-05-05,Oklahoma City,2,Oklahoma,0,0,7,0,7,"A fight broke out inside a bar in the Midtown neighborhood. At some point, an individual pulled out a gun and opened fire, injuring seven people.[320]",5.0
2025-05-05,Sharon,1,Pennsylvania,0,0,4,0,4,Four teens were shot at a house party.[319],5.0
2025-05-05,North Charleston,1,South Carolina,2,1,3,0,5,"A man killed a woman and injured three others, including his girlfriend, after a domestic dispute escalated at an apartment complex. He was later found dead in the trailer park.[318]",5.0
2025-05-06,Memphis,8,Tennessee,2,0,3,0,5,Two men were killed and three others were injured after a fight that escalated broke out in a sports bar in the Frayser neighborhood.[317],5.0
2025-05-07,Hartford,2,Connecticut,0,0,4,0,4,"Multiple shooters opened fire in an ""ambush style"" at an outdoor dice game, injuring four people.[316]",5.0
2025-05-09,Detroit,3,Michigan,2,0,3,0,5,"Two people were killed and three others, including an 11-year-old girl who was grazed by a bullet, were injured in a shooting in the Brightmoor neighborhood.[315]",5.0
2025-05-10,Philadelphia,9,Pennsylvania,0,0,4,0,4,Four children were injured in a shooting on a SEPTA bus in Fairmount Park.[314],5.0
2025-05-10,Arvin,1,California,2,0,2,0,4,"Two men were killed and two others, including a juvenile, were injured when a gun battle erupted at a neighborhood intersection.[313]",5.0
2025-05-10,Paramount,1,California,0,0,4,0,4,Two women and two children were shot.[312],5.0
2025-05-11,Florence County,1,South Carolina,1,0,6,0,7,One person was killed and six others were injured in a shooting during a fight in the parking lot of a nightclub.[311],5.0
2025-05-11,Valdosta,1,Georgia,0,0,4,0,4,"Four people, including two teens, were shot following an argument over a charging cable.[310]",5.0
2025-05-16,Chicago,21,Illinois,0,0,4,0,4,"Four people, including a teenager, were injured in a drive-by shooting in the Homan Square neighborhood.[308]",5.0
2025-05-16,Las Vegas,1,Nevada,2,1,3,0,5,"A gunman opened fire at a gym, killing one man and injuring three others, before being shot and killed by responding police officers.[309]",5.0
2025-05-17,Summit Township,1,Michigan,1,0,3,0,4,"A group of men opened fire during a small party at a house, killing a 44-year-old man and critically injuring three other men.[306]",5.0
